Date,Song,Artist,Peak Position,Weeks in Charts
2024-04-03,Bye,Ariana Grande,25,3
2024-08-14,Bye Bye Bye,*NSYNC,24,-
2024-08-28,California Sober,Post Malone Featuring Chris Stapleton,1,-
2023-11-01,Call Your Friends,Rod Wave,9,-
2023-11-29,Calling For You,Drake Featuring 21 Savage,4,-
2023-10-11,Calm Down,Rema & Selena Gomez,3,57
2024-04-24,Came To The Party,Future & Metro Boomin,1,-
2024-01-31,Can't Catch Me Now,Olivia Rodrigo,56,12
2024-01-17,Can't Have Mine,Dylan Scott,57,13
2024-06-26,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,1,19
2024-05-08,Cassandra,Taylor Swift,44,2
2024-08-28,Casual,Chappell Roan,59,9
2023-10-04,Checkmate,Rod Wave,55,2
2023-09-06,Chemical,Post Malone,13,20
2024-08-28,Chevrolet,Dustin Lynch Featuring Jelly Roll,61,10
2024-08-28,Chihiro,Billie Eilish,12,14
2024-07-31,Chk Chk Boom,Stray Kids,1,-
2024-05-15,Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,36,3
2024-01-03,Christmas (Baby Please Come Home),Darlene Love,15,22
2024-01-03,Christmastime Is Here,Vince Guaraldi Trio,4,-
2024-05-22,Cinderella,Future| Metro Boomin & Travis Scott,6,8
2024-05-22,Clara Bow,Taylor Swift,21,4
2024-04-10,Claustrophobic,Future & Metro Boomin,24,2
2023-11-15,Clean (Taylor's Version),Taylor Swift,30,2
2024-07-10,Close To You,Gracie Abrams,49,4
2024-03-27,Coal,Dylan Gossett,73,11
2023-11-22,Cobra,Megan Thee Stallion,32,2
2024-05-22,Collage,Gunna,1,-
2023-10-18,Come See Me,Rod Wave,19,6
2024-03-20,Contigo,Karol G & Tiesto,61,4
2024-04-24,Corazon de Piedra,Xavi,73,4
2024-07-31,Cowboys Cry Too,Kelsea Ballerini & Noah Kahan,3,-
2023-12-20,Cowgirl,Nicki Minaj Featuring Lourdiz,1,-
2024-08-28,Cowgirls,Morgan Wallen Featuring ERNEST,12,36
2023-12-27,Crazy,Lil Baby,1,-
2024-03-13,Creek Will Rise,Conner Smith,2,-
2023-11-01,Creepin',Metro Boomin| The Weeknd & 21 Savage,3,47
2024-04-24,Crocodile Tearz,J. Cole,19,2
2024-05-22,Cruel Summer,Taylor Swift,1,54
2024-05-08,Cry,Benson Boone,60,4
2023-09-13,Cupid,Fifty Fifty,17,25
2023-11-01,Cybertruck,Bad Bunny,30,2
2024-01-03,DJ Play A Christmas Song,Cher,90,2
2024-03-06,Dance The Night,Dua Lipa,6,35
2024-01-31,Dangerous,21 Savage| Lil Durk & Metro Boomin,35,2
2024-01-24,Dark Days,21 Savage & Mariah The Scientist,1,-
2024-04-10,Daughter,Beyonce,1,-
2023-09-20,Dawns,Zach Bryan Featuring Maggie Rogers,42,20
2023-11-22,Daylight,David Kushner,33,31
2024-01-03,Deck The Halls,Nat King Cole,16,13
2023-10-04,Deep Satin,Zach Bryan,1,-
2024-03-27,Deeper Well,Kacey Musgraves,1,-
2023-11-01,Deli,Ice Spice,13,-
2023-10-04,Demons,Doja Cat,2,-
2024-04-10,Desert Eagle,Beyonce,1,-
2024-08-28,Devil I've Been,Post Malone Featuring ERNEST,1,-
2024-08-28,Devil Is A Lie,Tommy Richman,32,10
2024-01-10,Dial Drunk,Noah Kahan With Post Malone,24,-
2024-08-21,Did It First,Ice Spice & Central Cee,51,5
